ID;ART;NAME;FNAME;PARENT;EDIZM;VEDIZM;OEDIZM;VN;NDA;SZ;PROIZV;STRANA;OPIS;KOMMENT;PR;UPAK;IDS;KO;SO;FILES;
3016122;65042;Профиль стыкоперекрывающий ПС 07.900.094 ( Венге );Профиль стыкоперекрывающий ПС 07.900.094 ( Венге );2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;5;0;;
3016124;65043;Профиль стыкоперекрывающий ПС 07.900.082(дуб светлый);Профиль стыкоперекрывающий ПС 07.900.082(дуб светлый);2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;6;0;;
3016126;65044;Профиль стыкоперекрывающий ПС 07.900.083(бук);Профиль стыкоперекрывающий ПС 07.900.083(бук);2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;6;0;;
3016282;65122;Профиль стыкоперекрывающий ПС 03.1350.091 ( Дуб темный );Профиль стыкоперекрывающий ПС 03.1350.091 ( Дуб темный );2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;6;0;;
3016284;65123;Профиль стыкоперекрывающий ПС 03.1350.082(дуб светлый);Профиль стыкоперекрывающий ПС 03.1350.082(дуб светлый);2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;5;0;;
3016286;65124;Профиль стыкоперекрывающий ПС 03.1350.083(бук);Профиль стыкоперекрывающий ПС 03.1350.083(бук);2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;3;0;;
200122258;3728;Стремянка стальная  4 ступени  ( М8304 );Стремянка стальная  4 ступени  ( М8304 );200005113;шт.;4;0;1;1;0;;Россия;;;0;0;0;1;0;200122258_63385591813859.jpg 200122258_63385591818593.jpg;
3062482;496930;Профиль стыкоперекрывающий ПС 04-2.900.084(дуб универс.);Профиль стыкоперекрывающий ПС 04-2.900.084(дуб универс.);2574709;шт.;0;0;1;1;0;;Россия;скрытый крепеж;;0;0;0;0;0;;
200118220;1623;Раковина "Уют 50";Раковина "Уют 50";2608615;шт.;7;0;1;1;0;;Россия;;;0;0;0;0;0;;
3018242;66089;Профиль стыкоперекрывающий ПС 03.900.04 (бронза);Профиль стыкоперекрывающий ПС 03.900.04 (бронза);2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;0;0;;
3018244;66090;Профиль стыкоперекрывающий ПС 03.900.084 (дуб универсальный);Профиль стыкоперекрывающий ПС 03.900.084 (дуб универсальный);2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;11;0;;
3217512;77254;Унитаз-компакт "ПРАЙМ";Унитаз-компакт "ПРАЙМ";2610348;шт.;30;0;1;1;0;;Россия;;;0;0;0;1;0;3217512_63571359698102.jpg;
3062484;496931;Профиль стыкоперекрывающий ПС 04-2.900.092(вишня.);Профиль стыкоперекрывающий ПС 04-2.900.092(вишня.);2574709;шт.;0;0;1;1;0;;Россия;скрытый крепеж;;0;0;0;0;0;;
3030540;16051;Пена монтажная всесезонная ''MAKROFLEX PRO" профессиональная, 750мл;Пена монтажная всесезонная ''MAKROFLEX PRO" профессиональная, 750мл;2584825;шт.;1;0;1;1;0;;;Перед использованием см. инструкцию, есть оптовые цены. До -10 С;;0;0;0;0;0;3030540_63385256727265.jpg;
3171078;9402;Жидкое стекло натриевое 1,3кг.ТЕКС;Жидкое стекло натриевое 1,3кг.ТЕКС;2609193;шт.;1;0;1;1;0;;Россия;В качестве добавки  к строительным материалам, повышает долговечность, прочность,  огнеупорность, атмосферостойкость.;;0;0;0;8;0;3171078_63579388329359.jpg;
3030734;16148;Саморезы с прессшайбой 4,2х25мм острый наконечник;Саморезы с прессшайбой 4,2х25мм острый наконечник;1221754;кг.;1;0;1;1;0;;тайвань;Саморезы для гипсокарт. профилей 4,2х25мм. острый  до 1мм(без предв.  сверления)полусферическая головка с прессшайбой, цинк;;0;0;0;5,8076;0;3030734_63397438939046.jpg;
3030736;16149;Саморезы с прессшайбой 4,2х41мм острый наконечник;Саморезы с прессшайбой 4,2х41мм острый наконечник;1221754;кг.;1;0;1;1;0;;тайвань;Саморезы для гипсокарт. профилей 4,2х41мм.острый  до 1мм(без предв.  сверления)полусферическая головка с прессшайбой, цинк;;0;0;0;27,9515;0;3030736_63397438986015.jpg;
3031184;16373;Плитка облицовочная Сакура 3С беж  27,5*40 (Кер) (15шт/уп);Плитка облицовочная Сакура 3С беж  27,5*40 (Кер) (15шт/уп);2584839;шт.;2;0;1;1;0;;Беларусь;;;0;0;0;0;0;;
3231943;84458;Садовая фигура "Банщик" Ф038;Садовая фигура "Банщик" Ф038;2610779;шт.;0;0;1;1;0;;;;;0;0;0;0;0;3231943_63641073517625.jpg;
200120622;2868;Раковина  "Дрея Лагуна 75";Раковина  "Дрея Лагуна 75";2611022;шт.;0;0;1;1;0;;;;;0;0;0;0;0;;
3031522;16542;Дюбель  "Driva"  пластмассовый 15*32 мм, для гипсокартона;Дюбель  "Driva"  пластмассовый 15*32 мм, для гипсокартона;200005312;шт.;0;0;1;1;0;;Польша;;;0;0;0;251;0;3031522_63398203606203.jpg;
3221246;79121;Клей монтажный "Soudal" Т-REX моментальная схватыв. 12*300 мл;Клей монтажный "Soudal" Т-REX моментальная схватыв. 12*300 мл;2609030;шт.;0;0;1;1;0;;Россия;монт. клей, усиленный волокном, открытое вермя 5 м, сила перв склеивания  125 кг/кв.м.,  мгновенная фиксация через 1 сек, подходит для склеивания всех пористых и непористых  материалов, заполняет пустоты на поверхностях. Для бетона, керамики, металлов, стекла, пробки, дерева, большинства пластмасс, гипса,  МДФ. полное отвержение через 24ч;;0;0;0;0;0;3221246_63591472804200.jpg;
3033522;468450;Полотенцесушитель "Виктория" 32-20/П5 500/532/630 боковое подключение НР32 мм;Полотенцесушитель "Виктория" 32-20/П5 500/532/630 боковое подключение НР32 мм;2584868;шт.;4;0;1;1;0;;Россия-Финляндия;Нержавеющая сталь , 5 межколлекторных перемычек  толщина стенок 2 мм, рабочее давление 5-8 атм, макс.возможное 15 атм,   макс.t 115 гр.;;0;0;0;1;0;3033522_63577487780734.jpg;
3218136;77566;Панель пластик 239/2 (2700*250*8) акция;Панель пластик 239/2 (2700*250*8) акция;2610321;шт.;1;0;1;1;0;;;;;0;0;0;0;0;;
3227495;82234;4040 Столешница 3050х600х38 мм 1U ВЛГ АНТАРЕС;4040 Столешница 3050х600х38 мм 1U ВЛГ АНТАРЕС;2610759;шт.;50;0;1;1;0;;;;;0;0;0;0;0;3227495_63617837901173.jpg;
3192508;20619;Гайковерт аккумуляторный ЗУБР ударный, 90 Нм, реверс, БЗУ, элек тормоз, 1,5А/ч, 2 АКБ, Li-Ion (ЗГУА-12-Ли КНУ);Гайковерт аккумуляторный ЗУБР ударный, 90 Нм, реверс, БЗУ, элек тормоз, 1,5А/ч, 2 АКБ, Li-Ion (ЗГУА-12-Ли КНУ);2608171;шт.;0;0;1;1;0;;;90 Нм, реверс, БЗУ, элек тормоз, 1,5А/ч, HEX 1/4", 2 АКБ, БЗУ, Li-Ion, 12В, кейс;;0;0;0;0;0;3192508_63528334777406.jpg;
3170662;9194;Тачка садовая  двухколесная  4562Р;Тачка садовая  двухколесная  4562Р;2607646;шт.;10;0;1;1;0;;;Тачка садовая 2-х калесная,0,7мм. пневмоколесо 13" 3,0*8, грузоподьемность 120кг. объем  кузова 85л. масса10кг.;;0;0;0;0;0;3170662_63500595934421.jpg;
3046900;481639;Панель белая глянцевая ОРТО 2.7*0.25;Панель белая глянцевая ОРТО 2.7*0.25;1431663;шт.;1;0;1;1;0;;Россия;;;0;0;0;207;0;3046900_63575757941031.jpeg;
3046904;481641;Панель белая глянцевая ОРТО 3*0.25;Панель белая глянцевая ОРТО 3*0.25;1431663;шт.;1;0;1;1;0;;Россия;;;0;0;0;102;0;3046904_63575757953125.jpeg;
200125659;5507;Металло- рамный анкер 10х182мм;Металло- рамный анкер 10х182мм;200005311;шт.;0;0;1;1;0;;польша;;;0;0;0;21;0;200125659_63398203837250.jpg;
200116527;50720;Панель пластик №6291  ( 2.7*0.25 );Панель пластик №6291  ( 2.7*0.25 );1431663;шт.;1;0;1;1;0;;Россия;;;0;0;0;0;0;200116527_63575761181500.jpg;
200121144;3138;Плинтус ИДЕАЛ с кабель-каналом и мягким краем (Белый) 2,5м;Плинтус ИДЕАЛ с кабель-каналом и мягким краем (Белый) 2,5м;2611084;шт.;0;0;1;1;0;;;;;0;0;0;42;0;200121144_63427055866796.jpg 200121144_63596493127055.jpg;
3223116;80056;Линолеум Идиллия Оксфорд 2  4м;Линолеум Идиллия Оксфорд 2  4м;200005165;кв.м.;3;0;1;1;0;;Россия;толщина линолеума 3,5мм,толщина защитного слоя 0,5 мм,дополнительный защитный слой  EXTREME PROTECTION (полностью исключает воздействие любой домашней химии и  загрязнений бытового характера). Срок гарантии-15 лет;;0;0;0;0;0;;
3062498;496938;Профиль стыкоперекрывающий ПС 05.900.083(бук.);Профиль стыкоперекрывающий ПС 05.900.083(бук.);2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;0;0;;
3062500;496939;Профиль стыкоперекрывающий ПС 05.900.084(дуб универс.);Профиль стыкоперекрывающий ПС 05.900.084(дуб универс.);2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;0;0;;
3062502;496940;Профиль стыкоперекрывающий ПС 05.900.091(дуб темный);Профиль стыкоперекрывающий ПС 05.900.091(дуб темный);2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;0;0;;
3062504;496941;Профиль стыкоперекрывающий ПС 05.900.092(вишня.);Профиль стыкоперекрывающий ПС 05.900.092(вишня.);2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;0;0;;
3062678;42118;Паркет ламинат KRONOSPAN Castello Click 9211 Бук Mondsee 32 класс;Паркет ламинат KRONOSPAN Castello Click 9211 Бук Mondsee 32 класс;2601035;шт.;2;0;1;1;0;;Россия;32 класс, структура RF-имитирует поверхность натурального дерева;;0;0;0;0;0;3062678_63390004373234.jpg;
3062682;42120;Паркет ламинат KRONOSPAN Castello Click 1665 Дуб Royal 32 класс;Паркет ламинат KRONOSPAN Castello Click 1665 Дуб Royal 32 класс;2601035;шт.;2;0;1;1;0;;Россия;32 класс, структура RF-имитирует поверхность натурального дерева;;0;0;0;37;0;3062682_63577573121171.jpg;
3220808;78902;Счетчик воды СГВ-15 МЗ (уп. 20шт.) СГВ15МЗ;Счетчик воды СГВ-15 МЗ (уп. 20шт.) СГВ15МЗ;2610226;шт.;1;0;1;1;0;;;ГОСТ-2874, Горячая вода, Латунь;;0;0;0;0;0;3220808_63588799080982.jpg 3220808_63588799273740.jpg;
3228049;82511;YY50QT-7A (Urban) Скутер с двигателем внутреннего сгорания, мощность  4,5 л.с., объем двигателя 49,5 куб.см, бензиновый;YY50QT-7A (Urban) Скутер с двигателем внутреннего сгорания, мощность  4,5 л.с., объем двигателя 49,5 куб.см, бензиновый;2610726;шт.;0;0;1;1;0;;;Скутер с двигателем внутреннего сгорания, мощность  4,5 л.с., объем  двигателя 49,5 куб.см, бензиновый, одноцилиндровый, четырехтактный двигатель,  воздушное охлаждение, объем топливного бака 4 л;;0;0;0;0;0;3228049_63618703815763.jpg;
3062686;42122;Паркет ламинат KRONOSPAN Castello Click 0709 Дуб Highland 32 класс;Паркет ламинат KRONOSPAN Castello Click 0709 Дуб Highland 32 класс;2601035;шт.;2;0;1;1;0;;Россия;32 класс, структура RF-имитирует поверхность натурального дерева;;0;0;0;99;0;3062686_63577573094656.jpg;
3064020;42789;Дюбель фасадный, сердечник п/проп. KI-10х 90мм;Дюбель фасадный, сердечник п/проп. KI-10х 90мм;200005312;шт.;0;0;1;1;0;;Германия;;;0;0;0;1211;0;3064020_63583434663250.jpg;
3222936;79966;Маркер строительный с жидким красящим составом, белый 147*15мм. FIT(04338);Маркер строительный с жидким красящим составом, белый 147*15мм. FIT(04338);200005295;шт.;0;0;1;1;0;;;;;0;0;0;0;0;;
3062816;42187;Труба с раструбом ПП 110 ( 500 мм);Труба с раструбом ПП 110 ( 500 мм);1552083;шт.;1;0;1;1;0;;;ЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ: * Материал корпуса: полипропилен * Рабочая среда:  хозяйственные и фекальные стоки.  * Температура рабочей среды, наибольшая:  не более  95 °С. * Давление номинальное PN, кг/см2: без давления * Тип присоединения: раструбный  * ТУ 4926-010-42943419-97;;0;0;0;54;0;3062816_63526074257296.jpg;
3062820;42189;Труба с раструбом ПП 110 (1000 мм);Труба с раструбом ПП 110 (1000 мм);1552083;шт.;2;0;1;1;0;;;ЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ:* Материал корпуса: полипропилен * Рабочая среда:  хозяйственные и фекальные стоки.* Температура рабочей среды, наибольшая:  не более 95  °С. * Давление номинальное PN, кг/см2: без давления * Тип присоединения: раструбный  *  ТУ 4926-010-42943419-97;;0;0;0;48;0;3062820_63526074240937.jpg;
3062821;42189;(Б) Труба с раструбом ПП 110 (1000 мм);(Б) Труба с раструбом ПП 110 (1000 мм);1552083;шт.;2;0;1;1;0;;;ЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ:* Материал корпуса: полипропилен * Рабочая среда:  хозяйственные и фекальные стоки.* Температура рабочей среды, наибольшая:  не более 95  °С. * Давление номинальное PN, кг/см2: без давления * Тип присоединения: раструбный  *  ТУ 4926-010-42943419-97;;0;0;0;1;0;;
3062824;42191;Заглушка 110;Заглушка 110;1552083;шт.;0;0;1;1;0;;;ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ: * Материал корпуса: полипропилен* Рабочая среда:  хозяйственные и фекальные стоки. * Температура рабочей среды, наибольшая:  не более 95  °С. * Давление номинальное PN, кг/см2: без давления* Тип присоединения: раструбный *  ТУ 4926-010-42943419-97;;0;0;0;36;0;3062824_63526069858078.jpg;
200122260;3729;Стремянка стальная  5 ступеней ( М8305 );Стремянка стальная  5 ступеней ( М8305 );200005113;шт.;4;0;1;1;0;;Россия;;;0;0;0;1;0;200122260_63385591920625.jpg 200122260_63385591926093.jpg;
3062828;42193;Хомут 110;Хомут 110;1552083;шт.;0;0;1;1;0;;;;;0;0;0;14;0;3062828_63526073782093.jpg;
3062832;42195;Муфта ПП 110;Муфта ПП 110;1552083;шт.;0;0;1;1;0;;;ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ: Материал корпуса: полипропилен Рабочая среда:  хозяйственные и фекальные стоки.  Температура рабочей среды, наибольшая: не более 95  °С. Давление номинальное PN, кг/с м^(2): без давления Тип присоединения: раструбный ТУ  4926-010-42943419-97;;0;0;0;19;0;3062832_63526071980937.jpg;
3062848;42203;Отвод ПП 110*90°;Отвод ПП 110*90°;1552083;шт.;0;0;1;1;0;;;ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ:      * Материал корпуса: полипропилен     * Рабочая среда: хозяйственные и фекальные стоки.      * Температура рабочей среды, наибольшая:  не более 95 °С.     * Давление номинальное PN, кг/см2: без давления     * Тип присоединения: раструбный     * ТУ 4926-010-42943419-97;;0;0;0;45;0;3062848_63526072360875.jpg;
3062850;42204;Труба с раструбом ПП 50 ( 250 мм);Труба с раструбом ПП 50 ( 250 мм);1552083;шт.;0;0;1;1;0;;;Безнапорная;;0;0;0;20;0;3062850_63526074194828.jpg;
3062852;42205;Труба с раструбом ПП 110 ( 150 мм);Труба с раструбом ПП 110 ( 150 мм);1552083;шт.;0;0;1;1;0;;;Безнапорная;;0;0;0;10;0;3062852_63526073846437.jpg;
3062856;42207;Патрубок переходный ПП 110*50;Патрубок переходный ПП 110*50;1552083;шт.;0;0;1;1;0;;;;;0;0;0;2;0;3062856_63526072721375.jpg;
3062858;42208;Ревизия с крышкой ПП 110;Ревизия с крышкой ПП 110;1552083;шт.;0;0;1;1;0;;;ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ: * Материал корпуса: полипропилен * Рабочая среда:  хозяйственные и фекальные стоки.  * Температура рабочей среды, наибольшая:  не более  95 °С. * Давление номинальное PN, кг/см2: без давления * Тип присоединения: раструбный  * ТУ 4926-010-42943419-97;;0;0;0;2;0;3062858_63526072888625.jpg;
3062860;42209;Тройник ПП 110*50*45°;Тройник ПП 110*50*45°;1552083;шт.;0;0;1;1;0;;;ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ:      * Материал корпуса: полипропилен     * Рабочая среда: хозяйственные и фекальные стоки.      * Температура рабочей среды, наибольшая:  не более 95 °С.     * Давление номинальное PN, кг/см2: без давления     * Тип присоединения: раструбный     * ТУ 4926-010-42943419-97;;0;0;0;3;0;3062860_63526073669000.jpg;
3062864;42211;Тройник ПП 110*110*45°;Тройник ПП 110*110*45°;1552083;шт.;0;0;1;1;0;;;ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ:      * Материал корпуса: полипропилен     * Рабочая среда: хозяйственные и фекальные стоки.      * Температура рабочей среды, наибольшая:  не более 95 °С.     * Давление номинальное PN, кг/см2: без давления     * Тип присоединения: раструбный     * ТУ 4926-010-42943419-97;;0;0;0;7;0;3062864_63526073186812.jpg;
3062866;42212;Тройник ПП 110*50*90°;Тройник ПП 110*50*90°;1552083;шт.;0;0;1;1;0;;;ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ:      * Материал корпуса: полипропилен     * Рабочая среда: хозяйственные и фекальные стоки.      * Температура рабочей среды, наибольшая:  не более 95 °С.     * Давление номинальное PN, кг/см2: без давления     * Тип присоединения: раструбный     * ТУ 4926-010-42943419-97;;0;0;0;13;0;3062866_63526073714359.jpg;
3062868;42213;Тройник ПП 110*110*90°;Тройник ПП 110*110*90°;1552083;шт.;0;0;1;1;0;;;ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ:      * Материал корпуса: полипропилен     * Рабочая среда: хозяйственные и фекальные стоки.      * Температура рабочей среды, наибольшая:  не более 95 °С.     * Давление номинальное PN, кг/см2: без давления     * Тип присоединения: раструбный     * ТУ 4926-010-42943419-97;;0;0;0;25;0;3062868_63526073623171.jpg;
200121684;3411;Подложка 5 мм (рулон50х1,05м);Подложка 5 мм (рулон50х1,05м);8618;п.м.;0;0;1;1;0;;россия;Тощина подложки 5мм;;0;0;0;358,4;0;200121684_63596328863854.jpg;
